	headlines	texts	rubrics	links
0	Трамп назвал главу Нью-Йорка худшим мэром в США	Президент США Дональд Трамп назвал главу Нью-Йорка, демократа Билла де Блазио, заявившего о своем участии в президентской гонке на выборах в 2020 году, самым плохим мэром в стране и отметил, что жители города его ненавидят.	world	https://news.yandex.ru//story/Tramp_nazval_glavu_Nyu-Jorka_khudshim_mehrom_v_SSHA--22ec4ba8cc0ad9ab4a2bac3995f6f5e4?lr=47&lang=ru&stid=tb08yzsSLHjb8HNxzKhH&persistent_id=63728938&rubric=world&from=rubric
1	В Германии недовольные «Северным потоком — 2» забрались в газопровод	Протестующие против строительства «Северного потока — 2» пробрались на строительную площадку на севере Германии, где осуществляется прокладка газопровода EUGAL, и заползли в часть уже проложенного трубопровода.	world	https://news.yandex.ru//story/V_Germanii_nedovolnye_Severnym_potokom__2_zabralis_v_gazoprovod--6bfbb1cb1552f825b951a5e2a2f91fb9?lr=47&lang=ru&stid=XJdiwGXjZonDQ-NbtM2H&persistent_id=63763690&rubric=world&from=rubric
2	США внесут Huawei в черный список	"Американский Минторг объявил, что внесёт крупнейшую в мире компанию ""Хуавэй"" и все, связанные с ней, юридические лица в свой черный список. Якобы, это необходимо из соображений нацбезопасности, сообщает телеканал ""Россия 24""."	world	https://news.yandex.ru//story/SSHA_vnesut_Huawei_v_chernyj_spisok--ddea34eecf6cd9785fb03040b4da8b01?lr=47&lang=ru&stid=N9aQhGYFp24Xf_jEtBmv&persistent_id=63724296&rubric=world&from=rubric
3	Мадуро прокомментировал решение США запретить полеты в Венесуэлу	Президент Венесуэлы Николас Мадуро заявил, что, запретив полеты в Венесуэлу, США навредили своим гражданам и бизнесу, передает телеканал VTV.	world	https://news.yandex.ru//story/Maduro_prokommentiroval_reshenie_SSHA_zapretit_polety_v_Venesuehlu--6fdb1375b30ef778612c3159580d6a87?lr=47&lang=ru&stid=50JjNIrnP4gXD4JiHjjv&persistent_id=63738843&rubric=world&from=rubric
4	Под завалами рухнувшего в Шанхае здания погибли семь человек	Спасателям удалось обнаружить и вытащить из под завалов обрушившегося в Шанхае здания 21 человека, семеро из них умерли в результате полученных травм. Такие данные публикует в четверг пресс-служба городской администрации.	world	https://news.yandex.ru//story/Pod_zavalami_rukhnuvshego_v_SHankhae_zdaniya_pogibli_sem_chelovek--bbd6b61d9c8fd027637f6cb065cfd8da?lr=47&lang=ru&stid=37BAzaHHErzV-kYhe9bs&persistent_id=63743123&rubric=world&from=rubric
5	Появились тизерные изображения новой BMW 1-Series	Новый BMW 1-Series разработан на базе платформы FAAR, которая позволила «скинуть» лишний вес машины и увеличить пространство в салоне. Внутри автомобиля будет полностью электронная приборная панель.	world	https://news.yandex.ru//story/Poyavilis_tizernye_izobrazheniya_novoj_BMW_1-Series--9a2028d09d30df166bb8feca366680cb?lr=47&lang=ru&stid=Vel0fvXbt_PlxGR3o3h9&persistent_id=63303659&rubric=world&from=rubric
6	Philips перешла в Нидерландах на возобновляемую энергию	Нидерландские предприятия Royal Philips NV полностью переведены на возобновляемые источники энергии. Это стало возможным после запуска ветряной электростанции на юго-западе страны, сообщает «Интерфакс».	world	https://news.yandex.ru//story/Philips_pereshla_v_Niderlandakh_na_vozobnovlyaemuyu_ehnergiyu--8e413207fa7409b57f5ed0022afdfb3f?lr=47&lang=ru&persistent_id=63778794&rubric=world&from=rubric
7	Виновницей крупнейшего в Калифорнии пожара назвали энергокомпанию PG&E;	Представители калифорнийского управления лесного хозяйства и пожарной охраны заявили о том, что виновником возникновения крупнейшего в истории штата пожара является энергетическая компания Pacific Gas and Electric.	world	https://news.yandex.ru//story/Vinovnicej_krupnejshego_v_Kalifornii_pozhara_nazvali_ehnergokompaniyu_PGE--062ee60f82b94202768df0a0637f03e8?lr=47&lang=ru&stid=APAgmLgSvTh8wj7KaBdy&persistent_id=63725661&rubric=world&from=rubric
8	Рождаемость в США достигла минимума	По данным экспертов, снижение рождаемости наблюдается уже последние четыре года, но только в 2018-м этот показатель достиг рекордного минимума. Общий уровень рождаемости составил 1728 рождений на 1 тысячу женщин по сравнению с 2017 годом.	world	https://news.yandex.ru//story/Rozhdaemost_v_SSHA_dostigla_minimuma--cf7f2d13df142422f93e3938b8b00e0f?lr=47&lang=ru&stid=GmF70iOZJtJg&persistent_id=63768953&rubric=world&from=rubric
9	В Турции анализ ДНК выявил новую тайну древнейшего города	Международная группа генетиков и археологов из Турции, Швеции и Польши провела анализ ДНК жителей одного из древнейших городов мира и установила, что социальная структура общества в нем около 8,5 тысячи лет назад была гораздо сложнее, чем считалось до сих пор.	world	https://news.yandex.ru//story/V_Turcii_analiz_DNK_vyyavil_novuyu_tajnu_drevnejshego_goroda--902e3f73b60283e46d28decadc64ce24?lr=47&lang=ru&stid=pvEh&persistent_id=63772360&rubric=world&from=rubric
10	В США два человека застряли в подъемнике на небоскребе	Пожарная служба американского города Оклахома спасает двух мойщиков окон, которые оказались заблокированными на подъемнике, когда он находился в верхней части небоскреба. Инцидент произошел утром по местному времени в 50-этажном здании в центре города.	world	https://news.yandex.ru//story/V_SSHA_dva_cheloveka_zastryali_v_podemnike_na_neboskrebe--b59cbdf60c0462f41998e0a47694eaf1?lr=47&lang=ru&stid=cSB_91S55BzAAHwQuvaP&persistent_id=63700424&rubric=world&from=rubric
11	В Британии избили ребенка из Латвии со словами «Возвращайся в Россию»	12-летний уроженец Латвии Эдвард Пургайлис был избит в школе Hillside High School в британском городке Бутл агломерации Мерисайд, пишет The Mirror.	world	https://news.yandex.ru//story/V_Britanii_izbili_rebenka_iz_Latvii_so_slovami_Vozvrashhajsya_v_Rossiyu--b684d90f3c6dd36b12103dd7e22e1c83?lr=47&lang=ru&stid=giNVPs3Ctrod--opfP_V&persistent_id=63742754&rubric=world&from=rubric
12	Рыбак поймал осьминога с огромными щупальцами	В прибрежных водах английского графства Девон выловили огромного осьминога с полутораметровыми щупальцами. Об этом сообщает местная газета Devon Live. Моллюска поймал 33-летний рыбак Джош Перкс (Josh Perkes), поставляющий свой улов в рестораны премиум класса.	world	https://news.yandex.ru//story/Rybak_pojmal_osminoga_s_ogromnymi_shhupalcami--c92b4fa726e4b23a69826f33f5093960?lr=47&lang=ru&stid=7-KG&persistent_id=63757819&rubric=world&from=rubric
13	В Китае автомобиль совершил наезд на прохожих	Отмечается, что водитель продолжил движение после наезда на пешеходов.	world	https://news.yandex.ru//story/V_Kitae_avtomobil_sovershil_naezd_na_prokhozhikh--bbe323cdddf433180ced1391f05bb97a?lr=47&lang=ru&stid=vmm2zHhN&persistent_id=63781885&rubric=world&from=rubric
14	ЧП на испытаниях: немецкая подлодка в Норвегии ударилась о грунт	Во время совершения маневров в гавани военно-морской базы Норвегии Хааконсверн немецкая подлодка U36 задела морское дно. Об этом сообщает издание Spiegel Online. В результате происшествия никто не пострадал.	world	https://news.yandex.ru//story/CHP_na_ispytaniyakh_nemeckaya_podlodka_v_Norvegii_udarilas_o_grunt--27416b099dac60dfe604bf6ff11b0c25?lr=47&lang=ru&stid=EbYFPJ1HRb2K&persistent_id=63718381&rubric=world&from=rubric
15	Мэрия Екатеринбурга согласилась провести опрос о строительстве храма	Мэрия Екатеринбурга готова провести опрос населения о строительстве храма на месте сквера, сообщает агентство «Интерфакс» со ссылкой на заместителя мэра города Екатерину Куземку. С предложением о проведении опроса местных жителей выступил российский президент Владимир Путин.	politics	https://news.yandex.ru//story/Mehriya_Ekaterinburga_soglasilas_provesti_opros_o_stroitelstve_khrama--17c941b43667381bf21486127f386b1c?lr=47&lang=ru&stid=5wqoPARRR9VSMOGBGGta&persistent_id=63780958&rubric=politics&from=rubric
16	С чиновников должен быть особый спрос, заявил Путин	Президент РФ Владимир Путин считает, что с чиновников должен быть особый спрос, а они обязаны понимать, что несут большую ответственность.	politics	https://news.yandex.ru//story/S_chinovnikov_dolzhen_byt_osobyj_spros_zayavil_Putin--88ec53583b3b6ec7f8c07602f4042872?lr=47&lang=ru&stid=tD-LzcnYhAmdsW16ak49&persistent_id=63776906&rubric=politics&from=rubric
17	Верховная рада назначила инаугурацию Зеленского на 20 мая	Верховная рада определила, что приведение к присяге избранного президента Украины Владимира Зеленского состоится 20 мая. Соответствующее решение поддержали в четверг 315 парламентариев.	politics	https://news.yandex.ru//story/Verkhovnaya_rada_naznachila_inauguraciyu_Zelenskogo_na_20_maya--9cfeaea424d5a2de821f66733a09f439?lr=47&lang=ru&stid=cIkwa41hJ-pstBHvPjEq&persistent_id=63749391&rubric=politics&from=rubric
18	Путин допустил возвращение системы распределения выпускников вузов	Президент России Владимир Путин допустил возрождение в стране системы распределения выпускников высших учебных заведений, получивших образование за счет бюджета. Оценить эту возможность глава государства предложил Минздраву и правительству в целом.	politics	https://news.yandex.ru//story/Putin_dopustil_vozvrashhenie_sistemy_raspredeleniya_vypusknikov_vuzov--ff30e68ffa1524bbaefe973af2c25b52?lr=47&lang=ru&stid=-s4wFdYEED4eYSyetXQl&persistent_id=63774199&rubric=politics&from=rubric
19	Путин обсудит с Собяниным вывоз мусора из Москвы в другие регионы	Президент России Владимир Путин сообщил, что поговорит с мэром Москвы Сергеем Собяниным о ситуации с планируемым вывозом мусора из Москвы на мусорные полигоны в другие регионы.	politics	https://news.yandex.ru//story/Putin_obsudit_s_Sobyaninym_vyvoz_musora_iz_Moskvy_v_drugie_regiony--dc94c83043ccaa9ab28f973834087d89?lr=47&lang=ru&stid=BD3gFE__JRxKswuJMC0-&persistent_id=63782334&rubric=politics&from=rubric
20	Путин поручил пересмотреть ценообразование в строительстве	"Правительство работает над изменением устаревших строительных норм и правил, а также ценообразования в этой сфере. ""Вопрос очень большой, системный и очень важный"", - заявил президент на Медиафоруме ОНФ в Сочи."	politics	https://news.yandex.ru//story/Putin_poruchil_peresmotret_cenoobrazovanie_v_stroitelstve--e6c35518c2e8a5079ed2f273c9dc54c0?lr=47&lang=ru&stid=rWxvVVyXRc2lX0rfJfq0&persistent_id=63772259&rubric=politics&from=rubric
21	Путин назвал пал травы одной из основных причин пожаров в Забайкалье	Одной из основных причин пожаров в Забайкалье является пал травы, всю работу по восстановлению домов и социальной инфраструктуры планируется завершить к поздней осени, заявил президент РФ Владимир Путин.	politics	https://news.yandex.ru//story/Putin_nazval_pal_travy_odnoj_iz_osnovnykh_prichin_pozharov_v_Zabajkale--6c237c13009921d4666cd4f9ccb1d3f8?lr=47&lang=ru&stid=QsUkP61cWObiIRKn&persistent_id=63780839&rubric=politics&from=rubric
22	Тори пытаются определить дату отставки Мэй	Члены Консервативной партии пытались на состоявшемся 16 мая закрытом заседании комитета заставить присутствовавшую Мэй назвать точную дату своей отставки. Однако премьер-министр уклонилась от ответа.	politics	https://news.yandex.ru//story/Tori_pytayutsya_opredelit_datu_otstavki_Mehj--d9855b30872e832ef258b1ed7406d69a?lr=47&lang=ru&stid=ogonRIZ3o7fEIbvh&persistent_id=63763822&rubric=politics&from=rubric
23	Меркель подтвердила намерение уйти из политики после 2021 года	Канцлер Германии Ангела Меркель подтвердила, что не собирается занимать политические посты после того, как в 2021 году подойдет к концу срок ее руководства кабмином. Об этом она заявила в четверг на совместной пресс-конференции с премьером Нидерландов Марком Рютте.	politics	https://news.yandex.ru//story/Merkel_podtverdila_namerenie_ujti_iz_politiki_posle_2021_goda--d57a415b0a4dd0559e31af084be413c2?lr=47&lang=ru&stid=lEAzTdV3h8yxcFU6rzq3&persistent_id=63755493&rubric=politics&from=rubric
24	Путин пообещал приехать на Чукотку	Президент России Владимир Путин пообещал приехать на Чукотку. Об этом он рассказал, выступая на медиафоруме ОНФ.	politics	https://news.yandex.ru//story/Putin_poobeshhal_priekhat_na_CHukotku--ee53b767940da8b872c964ff8c14e2bf?lr=47&lang=ru&stid=EqvC0FQx&persistent_id=63781632&rubric=politics&from=rubric
25	Госдума приняла во втором чтении законопроект о допуске в реанимацию	Государственная дума приняла во втором чтении законопроект, обязывающий предоставлять доступ в реанимационные отделения родственникам пациента.	politics	https://news.yandex.ru//story/Gosduma_prinyala_vo_vtorom_chtenii_zakonoproekt_o_dopuske_v_reanimaciyu--a206e9749c5f845b0b1d51b8bfc72cad?lr=47&lang=ru&stid=rJYYGWVY1ELmfbackumL&persistent_id=63268368&rubric=politics&from=rubric
26	«Роскосмос» прокомментировал слухи о скорой отставке Рогозина	"Руководитель пресс-службы ""Роскосмоса"" Владимир Устименко прокомментировал появившиеся в ряде СМИ слухи о том, что главу госкорпорации Дмитрия Рогозина могут в скором времени отправить в отставку. ""Эти слухи не соответствуют действительности"", - отметил Устименко."	politics	https://news.yandex.ru//story/Roskosmos_prokommentiroval_slukhi_o_skoroj_otstavke_Rogozina--07523b3d7ec077c48ed6f0abdf9e12af?lr=47&lang=ru&stid=kXah_ss_XiOh1LoLc7uY&persistent_id=63761178&rubric=politics&from=rubric
27	Представитель Киева в гуманитарной подгруппе по Донбассу покидает пост	Представитель Украины в гуманитарной подгруппе по Донбассу Ирина Геращенко объявила об отставке.	politics	https://news.yandex.ru//story/Predstavitel_Kieva_v_gumanitarnoj_podgruppe_po_Donbassu_pokidaet_post--512070814e57d39f5d3e3303368f3483?lr=47&lang=ru&stid=84_6_Lq9-tZRfhBMI57u&persistent_id=63771251&rubric=politics&from=rubric
28	Украинский генерал предупредил о последствиях войны с Россией	"Если произойдет реальное военное столкновение между Россией и Украиной, то это приведет к ""кровавой бойне"", заявил украинский генерал Игорь Романенко. По его словам, сейчас попытка Киева взять под контроль территории Донбасса будет бесполезной из-за якобы присутствующих там российских войск."	politics	https://news.yandex.ru//story/Ukrainskij_general_predupredil_o_posledstviyakh_vojny_s_Rossiej--0266e334b9db1b2c3e3a951883de8aff?lr=47&lang=ru&stid=4qBeFn7eb-dAIda-UlOM&persistent_id=63750868&rubric=politics&from=rubric
29	С-400 отгрузят Турции уже в следующем месяце	"Российские зенитно-ракетные комплексы С-400 могут поставить в Турцию уже в июне, то есть на месяц раньше, чем планировалось ранее. Об этом заявил глава управления оборонной промышленности Турции Исмаил Демир. Его слова приводит агентство ""Анадолу""."	politics	https://news.yandex.ru//story/S-400_otgruzyat_Turcii_uzhe_v_sleduyushhem_mesyace--5af9f15b9ad7567eb4ec6ba239f0b9e0?lr=47&lang=ru&stid=8l8q&persistent_id=63779359&rubric=politics&from=rubric
30	Суд отказал Мите Алешковскому в восстановлении бонусов «Аэрофлота»	Пресненский суд Москвы отказал журналисту и общественному деятелю Дмитрию (Мите) Алешковскому в восстановлении по иску о восстановлении его платинового статуса и накопленных миль в бонусной программе «Аэрофлота». Об этом РБК сообщил пресс-секретарь суда Алексей Черников.	society	https://news.yandex.ru//story/Sud_otkazal_Mite_Aleshkovskomu_v_vosstanovlenii_bonusov_Aehroflota--e83e5fc83462dc439c75f98051f0873f?lr=47&lang=ru&stid=YQBE47oU9flTEllHLzG1&persistent_id=63777405&rubric=society&from=rubric
31	Названа необходимая для российской семьи сумма для жизни	"Обычной семье из трех человек в России нужно 78 тысяч рублей в месяц, чтобы иметь все необходимое, сообщает РИА ""Новости"" со ссылкой на исследование ""Ромира"". Уточняется, что более половины семейных россиян (51%) желают иметь на ""нормальную жизнь"" 60-120 тысяч рублей."	society	https://news.yandex.ru//story/Nazvana_neobkhodimaya_dlya_rossijskoj_semi_summa_dlya_zhizni--c988f6f06b4d2a9e72d6f14cd80e8bcf?lr=47&lang=ru&stid=6Rf27P8OlfIeQ1bVmwvR&persistent_id=63728704&rubric=society&from=rubric
32	Россиянам добавят один день отпуска	Минтруд России готовит поправки в законодательство о предоставлении дополнительного оплачиваемого дня отпуска каждый год для прохождения диспансеризации. Сейчас такой выходной предоставляется раз в три года.	society	https://news.yandex.ru//story/Rossiyanam_dobavyat_odin_den_otpuska--4d929f34e08f046e0582c66a84555236?lr=47&lang=ru&stid=v6mGI50fuewoJliwZIqW&persistent_id=63729651&rubric=society&from=rubric
33	Россияне назвали основными причинами своих болезней работу и стресс	Винят работу и испытываемый стресс в своем состоянии здоровья 33% опрошенных. Еще 28% жалуются на отсутствие денег на лекарства и профилактику болезней. Каждый четвертый опрошенный (25%) назвал основной причиной своих болезней возраст и отсутствие отдыха.	society	https://news.yandex.ru//story/Rossiyane_nazvali_osnovnymi_prichinami_svoikh_boleznej_rabotu_i_stress--6854edc618971c44a0a981a9665a96b1?lr=47&lang=ru&stid=u3bQgt2aUPlbuc75FzyA&persistent_id=63721287&rubric=society&from=rubric
34	Стало известно, где россияне отдыхали на майские праздники	Число российских туристов, которые в период майских праздников 2019 года выезжали на отдых в регионы РФ и за рубеж, выросло на 20% по сравнению аналогичным периодом прошлого года, заявила исполнительный директор Ассоциации туроператоров России (АТОР) Майя Ломидзе.	society	https://news.yandex.ru//story/Stalo_izvestno_gde_rossiyane_otdykhali_na_majskie_prazdniki--19ca398d956cd25ce394dcdecf7a01ed?lr=47&lang=ru&stid=lwJdXLhYbISEiu8RShCu&persistent_id=63780975&rubric=society&from=rubric
35	Конфликт из-за храма в Екатеринбурге. Что важно знать	Как проходят протесты Протесты в Екатеринбурге начались после того, как в ночь на понедельник, 13 мая, в сквере на набережной Рабочей Молодежи в центральной части города огородили пространство для строительства храма.	society	https://news.yandex.ru//story/Konflikt_iz-za_khrama_v_Ekaterinburge._CHto_vazhno_znat--dfc5b993b60f11c3ec0a98a4a56ed3d6?lr=47&lang=ru&stid=1_TX7S-c&persistent_id=63775965&rubric=society&from=rubric
36	Полпред объяснил Куйвашеву, что к людям надо прислушиваться	Полпред президента в УрФО Николай Цуканов сегодня встретился с губернатором Евгением Куйвашевым. Официально обсуждалось проведение саммита GMIS, но речь шла и о том, что к мнению людей надо прислушиваться.	society	https://news.yandex.ru//story/Polpred_obyasnil_Kujvashevu_chto_k_lyudyam_nado_prislushivatsya--49ff139e78791fbe4fbda426e0558d53?lr=47&lang=ru&stid=bZTuVgh9q_LDQcUVHYuE&persistent_id=63765248&rubric=society&from=rubric
37	Житель Франции выиграл в лотерею €21 млн	Неизвестный мужчина, живущий в департаменте Эро на юге Франции, стал победителем пасхальной лотереи Loto. Об этом 16 мая сообщает издание 20 minutes. Выигрыш составил €21 млн (1 517,5 млн рублей).	society	https://news.yandex.ru//story/ZHitel_Francii_vyigral_v_lotereyu_21_mln--13a9692ba049a9dcc0b8fbfa405f9c59?lr=47&lang=ru&stid=FPWBufAKSdWiOMGH37FW&persistent_id=63771476&rubric=society&from=rubric
38	Обвиняемый в убийствах сенатор Арашуков захотел поменять законы СИЗО	Временно отстраненный от должности сенатор Рауф Арашуков, обвиняемый в убийствах, пожаловался на отсутствие в СИЗО «Лефортово» халяльного питания. Об этом член Общественной наблюдательной комиссии Александр Ионов рассказал «Известиям».	society	https://news.yandex.ru//story/Obvinyaemyj_v_ubijstvakh_senator_Arashukov_zakhotel_pomenyat_zakony_SIZO--a3a37a89bc9d0b9f49ab90537eae3eef?lr=47&lang=ru&stid=c4map1Zw1fAZxFdnRSJm&persistent_id=63696024&rubric=society&from=rubric
39	Врач дал рекомендации москвичам, страдающим гипертонией	Врач-кардиолог поликлиники № 180 столичного департамента здравоохранения Николай Серебряков дал рекомендации горожанам, страдающим артериальной гипертонией. Они направлены на предупреждение прогрессирования болезни.	society	https://news.yandex.ru//story/Vrach_dal_rekomendacii_moskvicham_stradayushhim_gipertoniej--651663ff9b201f4f88248bd883a5a174?lr=47&lang=ru&stid=2AXS38NETVpwU119yipv&persistent_id=63741947&rubric=society&from=rubric
40	На территории Музея имени Андрея Рублева нашли клад XV–XVI веков	"""Четыре древнерусские монеты XV – XVI веков обнаружили столичные археологи в Музее древнерусской культуры и искусства имени Андрея Рублева во время работ по благоустройству территории бывшего Спасо-Андроникова (Андроникова) монастыря"", - сообщается в нем. Это мелкие разменные медные монеты, а также серебряная деньга."	society	https://news.yandex.ru//story/Na_territorii_Muzeya_imeni_Andreya_Rubleva_nashli_klad_XVXVI_vekov--8f0bbbf7a0c9cf7650a27d384dae99d4?lr=47&lang=ru&stid=lhZxHoaum6tityN2O6HI&persistent_id=63736226&rubric=society&from=rubric
41	На компьютерных играх в РФ появится возрастная маркировка	Совет Федерации разработал законопроект, распространяющий на компьютерные игры действие закона о защите детей от информации, причиняющей вред их здоровью и развитию, сообщила один из авторов законопроекта, первый зампред комитета Совета Федерации по конституционному законодательству и госстроительству Людмила Бокова.	society	https://news.yandex.ru//story/Na_kompyuternykh_igrakh_v_RF_poyavitsya_vozrastnaya_markirovka--2a45009b1fe5570244e2bc587d501959?lr=47&lang=ru&stid=kAMRRRiykhiS-yLbp1Mr&persistent_id=63777709&rubric=society&from=rubric
42	Умерла главный дерматовенеролог России Анна Кубанова	"Скончалась доктор медицинских наук, профессор, главный внештатный специалист Минздрава России по дерматовенерологии и косметологии, академик РАМН и действительный член РАН Анна Кубанова. Директору ФГБУ ""Государственный научный центр дерматовенерологии и косметологии"" было 70 лет."	society	https://news.yandex.ru//story/Umerla_glavnyj_dermatovenerolog_Rossii_Anna_Kubanova--9d51c80f9e4f7b10cafa7c0027dd7b38?lr=47&lang=ru&stid=ppQoQ7MMJvnJd8HcBlRU&persistent_id=63754563&rubric=society&from=rubric
43	В Уфе прощаются с вице-премьером Башкирии Артуром Ахметхановым	Сегодня, 16 мая, в столице Башкирии прощаются вице-премьером Башкирии Артуром Ахметхановым. На похороны 57-летнего Артура Ахметханова пришли уже более тысячи человек. Артура Фарвазовича похоронят на Мусульманском кладбище Уфы.	society	https://news.yandex.ru//story/V_Ufe_proshhayutsya_s_vice-premerom_Bashkirii_Arturom_Akhmetkhanovym--2e6bfb021a0710f2cfc9fdd2be607cc4?lr=47&lang=ru&stid=UaCZMr89XDAV3fkIXoXO&persistent_id=63770526&rubric=society&from=rubric
44	Ройзман: «Губернатор расплатился сквером за храм»	Губернатор за какие-то личные услуги рассчитался за храм [сквером] и должен сейчас это остановить. Вообще ничего нельзя строить в скверах.	society	https://news.yandex.ru//story/Rojzman_Gubernator_rasplatilsya_skverom_za_khram--c7d792dff3333aab6e7d28abab96e6b5?lr=47&lang=ru&stid=G2qWSbe_APMp40HFVu5Z&persistent_id=63750079&rubric=society&from=rubric
