	headlines	texts	rubrics	links
89	В СКР назвали причину гибели актера Дмитрия Марьянова	Подмосковные следователи закончили масштабную работу по расследованию резонансного уголовного дела о гибели популярного актера театра и кино Дмитрия Марьянова. Об этом в четверг сообщили в управлении по взаимодействию со СМИ Следственного комитета России.	incident	https://news.yandex.ru//story/V_SKR_nazvali_prichinu_gibeli_aktera_Dmitriya_Maryanova--7b690c0516b92e3c2711c7e03540f0ea?lr=47&lang=ru&stid=gafS47jWW10dAMg56tEO&persistent_id=63781290&rubric=incident&from=rubric
90	Первый канал аннулировал итоги финала шоу «Голос. Дети»	«Промежуточные результаты проверки подтверждают, что на голосование было оказано внешнее воздействие, которое повлияло на итоги шоу», — пояснили представители канала.	culture	https://news.yandex.ru//story/Pervyj_kanal_annuliroval_itogi_finala_shou_Golos._Deti--069476661fc7f4df264451cdc34467fc?lr=47&lang=ru&stid=U10CERxCBDC1vZWKJWYf&persistent_id=63766616&rubric=culture&from=rubric
91	Фанаты потребовали от HBO переснять последний сезон «Игры престолов»	Больше 400 тыс. фанатов «Игры престолов» подписали петицию, в которой потребовали от HBO переделать финальный восьмой сезон сериала. Петиция появилась на сайте Change.org.	culture	https://news.yandex.ru//story/Fanaty_potrebovali_ot_HBO_peresnyat_poslednij_sezon_Igry_prestolov--c8eeb2131c75337375b7cbb4d70f2da5?lr=47&lang=ru&stid=3qBT2ZGs91aZE01ZR1il&persistent_id=63633469&rubric=culture&from=rubric
92	Испанский суд снял с Шакиры обвинения в плагиате	В суд на певицу подал кубинский композитор Ливан Рафаэль Кастельяно, заявивший, что в песне Шакиры используются куски из его произведения.	culture	https://news.yandex.ru//story/Ispanskij_sud_snyal_s_SHakiry_obvineniya_v_plagiate--96c9be03bc0a32507078a9b3b39f0a79?lr=47&lang=ru&stid=BxaLVC30o-MuPEhfL4NQ&persistent_id=63766328&rubric=culture&from=rubric
93	Скульптуру Джеффа Кунса «Кролик» продали на рекордные $91,1 млн	"Скульптуру под названием ""Кролик"", созданную американским художником Джеффом Кунсом, продали на аукционе в США за 91.1 млн долларов — это, как сообщает информагентство РИА Новости, рекордная цена для скульптуры, создавший которую художник все еще жив."	culture	https://news.yandex.ru//story/Skulpturu_Dzheffa_Kunsa_Krolik_prodali_na_rekordnye_$911_mln--cf0701e31edd445d7ee16b82a5e9c13d?lr=47&lang=ru&stid=tC2jDdCxLtEVeGy2Yqor&persistent_id=63730576&rubric=culture&from=rubric
94	Суд отказался запрещать въезд в Украину Федору Добронравову	"В отличие от ранее принятого (и уже отмененного) решения о запрете ""Сватов"". Ранее в Шестой апелляционный административный суд были поданы жалобы на решения Окружного админсуда Киева, который разрешил въезд в Украину Добронравову и показ сериала ""Сваты""."	culture	https://news.yandex.ru//story/Sud_otkazalsya_zapreshhat_vezd_v_Ukrainu_Fedoru_Dobronravovu--c1552aa6d67c71c5d43c7c4cf9d10db7?lr=47&lang=ru&stid=_WdOsuvmXrG3Qgq3ws2q&persistent_id=63720190&rubric=culture&from=rubric
95	Букмекеры назвали фаворитов Евровидения	Букмекеры считают, что победителем песенного конкурса Евровидение, которое проходит в этом году в Тель-Авиве, станет певец из Нидерландов Дункан Лоуренс, сообщило издание El Periodico. Российский исполнитель Сергей Лазарев, согласно прогнозам, попадет в пятерку.	culture	https://news.yandex.ru//story/Bukmekery_nazvali_favoritov_Evrovideniya--4c80842debcf832079b4bdb9181cb80e?lr=47&lang=ru&stid=5ieJqif4wAEc9-1JBjyg&persistent_id=63728915&rubric=culture&from=rubric
96	Главный символ Каннского кинофестиваля. История создания «Золотой пальмовой ветви»	"Главную награду международного Каннского кинофестиваля - ""Золотую пальмовую ветвь"" - во Францию привозят из соседней Швейцарии. Стоимость ювелирного изделия оценивается в € 20 тыс. Этот приз когда-то предложил создать бывший генеральный директор фестиваля Робер Фавр Ле Бре."	culture	https://news.yandex.ru//story/Glavnyj_simvol_Kannskogo_kinofestivalya._Istoriya_sozdaniya_Zolotoj_palmovoj_vetvi--1e8bf8e22db91463c6175fc8f6b81656?lr=47&lang=ru&persistent_id=63783012&rubric=culture&from=rubric
97	Вышел трейлер драмы «Дылда» Кантемира Балагова	Кинопоиск опубликовал трейлер второго полнометражного фильма Кантемира Балагова «Дылда». Драма вошла в&nbsp;конкурсную программу 72-го Каннского кинофестиваля «Особый взгляд».	culture	https://news.yandex.ru//story/Vyshel_trejler_dramy_Dylda_Kantemira_Balagova--28f20326999a5be6c584a42d7981e00b?lr=47&lang=ru&stid=NOQlZrDXUDtj9FPBAmA5&persistent_id=63666094&rubric=culture&from=rubric
98	Отец финалиста шоу «Голос. Дети» Валерия Кузакова рассказал о впечатлениях сына от проекта	На шоу мальчик представлял команду певицы Пелагеи, но победу одержала Микелла Абрамова, что спровоцировало скандал и стало причиной проверки итогов голосования. Ранее эксперты зафиксировали накрутку голосов в пользу дочери Алсу.	culture	https://news.yandex.ru//story/Otec_finalista_shou_Golos._Deti_Valeriya_Kuzakova_rasskazal_o_vpechatleniyakh_syna_ot_proekta--5c687398f64f4b4e471dfbbb3c6fe6f3?lr=47&lang=ru&persistent_id=63781982&rubric=culture&from=rubric
99	8 крутых персонажей, созданных на компьютере	Добби/Гарри Поттер и&nbsp;Тайная комната Депрессивный эльф-домовик, склонный к&nbsp;самоистязанию, мгновенно приходит на&nbsp;ум всем, кто&nbsp;начинает думать про&nbsp;стопроцентно компьютерных персонажей.	culture	https://news.yandex.ru//story/8_krutykh_personazhej_sozdannykh_na_kompyutere--8aa3f10bde4caa82d72cfaf0341f2179?lr=47&lang=ru&stid=HqME&persistent_id=63785374&rubric=culture&from=rubric
100	Представительница Кипра выступила на Евровидении в «голом костюме»	Грузинская певица Тамта, представляющая Кипр на конкурсе Евровидение в Тель-Авиве, поразила зрителей своим откровенным «голым нарядом». В первом полуфинале она исполнила песню Replay.	culture	https://news.yandex.ru//story/Predstavitelnica_Kipra_vystupila_na_Evrovidenii_v_golom_kostyume--7fe2c652be4319f17d826763b7b68cb6?lr=47&lang=ru&stid=AgXq-AdJz_F6aWflVBdv&persistent_id=63696568&rubric=culture&from=rubric
101	Сериал «Чудотворцы» с Дэниэлом Рэдклиффом продлили на второй сезон	Американская компания TBS продлила сериал «Чудотворцы» с Дэниэлом Рэдклиффом и Стивом Бушеми на второй сезон, сообщил 15 мая портал Deadline. Продюсерами выступят Стив Бушеми, Лорн Майклз, Эндрю Сингер и Кэти Дженсен.	culture	https://news.yandex.ru//story/Serial_CHudotvorcy_s_Dehniehlom_Rehdkliffom_prodlili_na_vtoroj_sezon--5e2942b62140e63ac91197647e5e3f1a?lr=47&lang=ru&stid=awRXsiVm0-ol22quNoDZ&persistent_id=63703864&rubric=culture&from=rubric
102	Первый канал аннулировал результат финала шоу «Голос. Дети»	В пресс-службе пояснили, что предварительная экспертиза подтвердила факт внешнего воздействия на ход голосования. Отмечается, что проверка, которой занималась Group-IB, должна была подтвердить или опровергнуть факт искусственного воздействия на результаты.	culture	https://news.yandex.ru//story/Pervyj_kanal_annuliroval_rezultat_finala_shou_Golos._Deti--1cfb654e6cfa65a43783e5853c34d32d?lr=47&lang=ru&stid=ERxCXUApuj6l4Npw_oeJ&persistent_id=63766616&rubric=culture&from=rubric
103	От HBO потребовали переснять 8 сезон «Игры престолов»	"Поклонники сериала ""Игра престолов"" потребовали переснять восьмой, заключительный сезон саги. Петиция с требованием появилась на сайте Change.org. Фанаты выразили яростное возмущение тем, как Дэвид Бениофф и Дэн Уайсс проявили себя как сценаристы, не имея возможности опереться на материал книг."	culture	https://news.yandex.ru//story/Ot_HBO_potrebovali_peresnyat_8_sezon_Igry_prestolov--5a7529b5289e53f63dfd617084d34b59?lr=47&lang=ru&stid=x3hw2ZGsE01ZR1il91aZ&persistent_id=63633469&rubric=culture&from=rubric
104	Скульптуру Джеффа Кунса «Кролик» продали на рекордные $91,1 млн	На аукционе Christie's в Нью-Йорке скульптура Джеффа Кунса «Кролик» продали за рекордную стоимость для ныне живущего художника – 91,1 миллион долларов.	culture	https://news.yandex.ru//story/Skulpturu_Dzheffa_Kunsa_Krolik_prodali_na_rekordnye_$911_mln--cf0701e31edd445d7ee16b82a5e9c13d?lr=47&lang=ru&stid=tC2jLtEVW1TUeGy2Yqor&persistent_id=63730576&rubric=culture&from=rubric
105	Павел Дуров раскритиковал WhatsApp	"Основатель Telegram Павел Дуров рассказал о проблемах с безопасностью в мессенджере WhatsApp. Об этом сообщает РИА ""Новости"". ""Выявленные проблемы позволяют вести слежку, выглядят и функционируют как бэкдоры"", - сказал Дуров."	computers	https://news.yandex.ru//story/Pavel_Durov_raskritikoval_WhatsApp--899fb60ad857f17e4de12dde5f3f07c6?lr=47&lang=ru&stid=rbLgawnMuT0YpTepjtGQ&persistent_id=63722718&rubric=computers&from=rubric
106	Google создал переводчик, имитирующий голос пользователя	Google разработала специальный алгоритм, который может переводить речь с одного языка на другой, сохраняя голос говорящего и не используя текст.	computers	https://news.yandex.ru//story/Google_sozdal_perevodchik_imitiruyushhij_golos_polzovatelya--ed9fbc86b04347415b0e4ab3e8c42b59?lr=47&lang=ru&stid=G5_pC62u6QD707FYEP4L&persistent_id=63747269&rubric=computers&from=rubric
107	Выпущена первая в мире карта microSD на 1 Тб	Американская компания Sandisk начала онлайн-продажи первой в своем роде карты microSD с объемом памяти 1 терабайт. Стоимость нового хранителя данных под названием Extreme составляет $499,9 (около 32,2 тыс. руб.).	computers	https://news.yandex.ru//story/Vypushhena_pervaya_v_mire_karta_microSD_na_1_Tb--a84bb0a2caf01da770f08a78a4dc7a85?lr=47&lang=ru&stid=3VJQPfgsIGAQVGy8P2oT&persistent_id=63754266&rubric=computers&from=rubric
108	Любую игру из Steam теперь можно бесплатно запустить на iPhone	Приложение Steam Link от Valve теперь доступно на устройствах iOS и Apple TV. Оно позволяет удаленно стримить игры, запущенные на компьютере, на дисплее смартфона. Поддерживаются операционные системы Windows, Mac или Linux.	computers	https://news.yandex.ru//story/Lyubuyu_igru_iz_Steam_teper_mozhno_besplatno_zapustit_na_iPhone--6219677a5f7c060b1504ec18e1d2035b?lr=47&lang=ru&stid=Ql0pqpNRGoFX1hrCJ54M&persistent_id=63741259&rubric=computers&from=rubric
109	«Билайн» пообещал заменить все базовые станции в Москве и Подмосковье	К концу 2020 года «ВымпелКом» (бренд «Билайн») заменит все базовые станции в столице и Московской области на новое оборудование и подготовит сеть к внедрению связи следующего, пятого, поколения (5G).	computers	https://news.yandex.ru//story/Bilajn_poobeshhal_zamenit_vse_bazovye_stancii_v_Moskve_i_Podmoskove--751bbff398f56c4358da287a65b34403?lr=47&lang=ru&stid=FqkvSpAuCfKNPg9SaRgV&persistent_id=63764290&rubric=computers&from=rubric
110	Vivo радикально снизила цены на свои смартфоны в России	Компания Vivo сообщила о серьезном снижении цен на ряд своих смартфонов, относящихся к среднему классу и к категории флагманов. С 17 мая аппараты по новым ценам будут доступны в интернет-магазине Vivo и в магазинах официальных партнеров производителя.	computers	https://news.yandex.ru//story/Vivo_radikalno_snizila_ceny_na_svoi_smartfony_v_Rossii--6ac10d928ee52189968148debe376b4e?lr=47&lang=ru&stid=rDMAvfve3DCNqhoQ&persistent_id=63776777&rubric=computers&from=rubric
111	В Epic Games Store открылся предзаказ Detroit: Become Human, Heavy Rain и Beyond: Two Souls	Ранее все три проекта были доступны лишь на консолях PlayStation 3 и PlayStation 4, а вышли в 2018, 2010 и 2013 годах соответственно. Однако еще в рамках прошедшей в марте GDC (Конференции разработчиков игр) стало известно, что игры выйдут и на ПК как эксклюзивы Epic Games Store.	computers	https://news.yandex.ru//story/V_Epic_Games_Store_otkrylsya_predzakaz_Detroit_Become_Human_Heavy_Rain_i_Beyond_Two_Souls--a657788e4232b97550aa67e7128a9b4e?lr=47&lang=ru&stid=yNlfVAf5YW4yIU1p&persistent_id=63786138&rubric=computers&from=rubric
112	94% студентов мечтают о работе в игровой индустрии	Компания Riot Games, известная по успешной МОВА League of Legends, провела исследование среди студентов Высшей школы экономики (ВШЭ). В результате опроса выяснилось, что примерно 94% учащихся мечтают о работе в игровой индустрии.	computers	https://news.yandex.ru//story/94_studentov_mechtayut_o_rabote_v_igrovoj_industrii--e90352f9498d974b20edef0ba71942b5?lr=47&lang=ru&stid=-Fnf&persistent_id=63786953&rubric=computers&from=rubric
113	Представлен компактный смартфон Sony Xperia Ace	Стали известны точные характеристики модели и стоимость. Sony Xperia Ace окажется компактной, поскольку получит диагональ дисплея в 5 дюймов, в то время как его разрешение составит 2160 х 1080 точек при соотношении сторон 18:9. Работа смартфона будет осуществляться на базе чипа Snapdragon 630.	computers	https://news.yandex.ru//story/Predstavlen_kompaktnyj_smartfon_Sony_Xperia_Ace--2c1754c3aac28749a4b0e74030bcd656?lr=47&lang=ru&stid=qRr1K9cXXjnX78k1yt6S&persistent_id=63657150&rubric=computers&from=rubric
114	Раскрыты технические характеристики Xiaomi Mi Mix 4 с 16 ГБ ОЗУ	Презентация новинки еще не названа, а вот технические характеристики уже слиты. Так, стало известно, что смартфон Xiaomi Mi Mix 4 будет работать на процессоре Snapdgraon 855. Экран в модели будет выполнен по технологии AMOLED и получил разрешение 2K.	computers	https://news.yandex.ru//story/Raskryty_tekhnicheskie_kharakteristiki_Xiaomi_Mi_Mix_4_s_16_GB_OZU--9c93b06fa1a97076cf6136e463507f70?lr=47&lang=ru&stid=wNhxm1ocN7v4utozhsSi&persistent_id=63740517&rubric=computers&from=rubric
115	В Германии прошли испытания воздушного электротакси	Немецкая компания Lilium провела успешные беспилотные испытания пятиместного электрического аэротакси, выполненного по&nbsp;схеме конвертоплана. К&nbsp;2025 году планируется запустить в&nbsp;нескольких городах сервис такси, использующий такие аппараты, сообщается на сайте компании.	computers	https://news.yandex.ru//story/V_Germanii_proshli_ispytaniya_vozdushnogo_ehlektrotaksi--f6b6559bbe8b7c7bd24ec0f230443bf1?lr=47&lang=ru&stid=3suF6sLxD8xvarYIWIWA&persistent_id=63745954&rubric=computers&from=rubric
116	Samsung исправила недостатки Galaxy Fold	Компания Samsung устранила недостатки складного смартфона Galaxy Fold, из-за которых производителю пришлось отложить релиз устройства.	computers	https://news.yandex.ru//story/Samsung_ispravila_nedostatki_Galaxy_Fold--0b605b749f3104b6d223e528d6bd653b?lr=47&lang=ru&stid=1N67hPay1XUkV2nfVVpL&persistent_id=63703364&rubric=computers&from=rubric
117	OnePlus 7 Pro стоит в Китае всего $580	OnePlus 7 Pro в Китае же стоит $580-725. Таким образом, базовая версия OnePlus 7 Pro на внутреннем рынке Китая стоит аналогично с базовым OnePlus 7 в Европе.	computers	https://news.yandex.ru//story/OnePlus_7_Pro_stoit_v_Kitae_vsego_$580--324f4ef848e2bdb7ccb8fcc6b4014ff9?lr=47&lang=ru&stid=t2SsZJLT&persistent_id=63762929&rubric=computers&from=rubric
118	Релиз Skull Bones от Ubisoft вновь отложен на неопределённый срок	Пиратский приключенческий экшен Skull &amp; Bones от Ubisoft всё никак не может увидеть свет. Его анонсировали на E3 2017 и планировали выпустить до конца 2018 года. Потом его отложили до 2019 финансового года.	computers	https://news.yandex.ru//story/Reliz_Skull_Bones_ot_Ubisoft_vnov_otlozhen_na_neopredelyonnyj_srok--a0acd4fc8c5b10f5e81b8b98aefbf5ea?lr=47&lang=ru&stid=oArlDV8xulQiT9eDq-Id&persistent_id=63709319&rubric=computers&from=rubric
119	МВД может создать портал для обращений людей по киберугрозам	Согласно концепции, МВД предстоит создать ситуационный центр по кибербезопасности с несколькими подразделениями. Вместе они будут принимать и обрабатывать обращения людей по киберугрозам и инцидентам через специальный сайт, по sms-сообщениям, электронной почте, звонкам и в соцсетях, описано в ней.	computers	https://news.yandex.ru//story/MVD_mozhet_sozdat_portal_dlya_obrashhenij_lyudej_po_kiberugrozam--431ebdbfec1ab354980dc4f5e5146911?lr=47&lang=ru&persistent_id=63774265&rubric=computers&from=rubric
120	Легендарный манускрипт Войнича расшифровали в Англии	Манускрипт, написанный, предположительно, в XV веке неизвестным автором на неизвестном языке, может быть расшифрован. Доктор Джерард Чешир из Бристольского университета заявил, что знает алгоритм расшифровки легендарной рукописи Войнича, сообщает 360 со ссылкой на Romance Studies.	science	https://news.yandex.ru//story/Legendarnyj_manuskript_Vojnicha_rasshifrovali_v_Anglii--499b139aa4d2a1071f90816c3cd4d033?lr=47&lang=ru&stid=NiHFqmM7HaLwmPWEYfPb&persistent_id=63670085&rubric=science&from=rubric
121	Ученые рассказали, какие пары чаще всего занимаются сексом	Частоту и качество половых контактов обычно связывают с рядом факторов. Прежде всего, речь идет о продолжительности романтических отношений. Но ученые решили провести исследование и выяснить, какие пары чаще занимаются сексом.	science	https://news.yandex.ru//story/Uchenye_rasskazali_kakie_pary_chashhe_vsego_zanimayutsya_seksom--f7b4cbd7645eba30b85c248e7c8d6517?lr=47&lang=ru&stid=_uU0T42baq31pBE5GU_Z&persistent_id=63739899&rubric=science&from=rubric
122	Искусственный интеллект создал уникальный рецепт односолодового виски	Уникальный рецепт односолодового виски создал искусственный интеллект. Необычный эксперимент провели специалисты финской компании Fourkind, которая известна внедрением ИИ в различные бизнес-проекты, эксперты шведского производителя алкогольных напитков Mackmyra и разработчики Microsoft Azure.	science	https://news.yandex.ru//story/Iskusstvennyj_intellekt_sozdal_unikalnyj_recept_odnosolodovogo_viski--783d873c8f149c091d11978741104ff5?lr=47&lang=ru&stid=jrSMSD-JkXJGHQt9RZtL&persistent_id=63263667&rubric=science&from=rubric
123	Отит начнут выявлять с помощью смартфона	Специалисты Вашингтонского университета в США представили новый метод диагностики отита с помощью смартфона.	science	https://news.yandex.ru//story/Otit_nachnut_vyyavlyat_s_pomoshhyu_smartfona--1b93e527eeb1644ebc99289a38cb3a52?lr=47&lang=ru&stid=xkg7m6EwIpvpSvXmOBJc&persistent_id=63750150&rubric=science&from=rubric
124	Стратосферный планер испытают на высоте 27 тысяч метров	Подразделение Perlan Project европейского авиастроительного концерна Airbus начало готовить перспективный стратосферный планер Perlan 2&nbsp;к испытаниям полетом на&nbsp;высоте более 27&nbsp;тысяч метров.	science	https://news.yandex.ru//story/Stratosfernyj_planer_ispytayut_na_vysote_27_tysyach_metrov--7334bbc893d2d56830d3051cfacfe6a2?lr=47&lang=ru&persistent_id=63780769&rubric=science&from=rubric
125	Неандертальцы и современные люди разошлись 800 тысяч лет назад	Группа ученых предоставила выводы о том, что эволюционные пути неандертальцев и предков современных людей разошлись значительно раньше, чем это предполагалась до сих пор. До этого, основываясь на анализе древних ДНК, это произошло порядка 300-500 тысяч лет назад.	science	https://news.yandex.ru//story/Neandertalcy_i_sovremennye_lyudi_razoshlis_800_tysyach_let_nazad--2984ea4a4774006de632a4237de34605?lr=47&lang=ru&stid=38kltOdD1baYwv9DySPF&persistent_id=63716714&rubric=science&from=rubric
126	Ученые показали, как меняется голова ребенка во время родов	Группа американских и французских ученых провела сканирование магнитно-резонансным томографом женщин, находившихся на втором периоде родов, и проследила, как в ходе этого процесса меняется череп ребенка. Работа опубликована&nbsp;в журнале PLOS One.	science	https://news.yandex.ru//story/Uchenye_pokazali_kak_menyaetsya_golova_rebenka_vo_vremya_rodov--46b1341bd54967cc7c096e1eb8541fbb?lr=47&lang=ru&stid=uLVnTGrDlG-b&persistent_id=63752691&rubric=science&from=rubric
127	Тяжелые инфекционные заболевания лягушек развиваются из-за изменений климата	Ученые провели исследование, которое показало влияние климата на развитие инфекционных заболеваний у лягушек. Основной причиной распространения тяжелой болезни является ранавирус. Чаще всего заражение лягушек происходит именно в жаркие месяца.	science	https://news.yandex.ru//story/Tyazhelye_infekcionnye_zabolevaniya_lyagushek_razvivayutsya_iz-za_izmenenij_klimata--d0fcbb6d1d5010b91d9e8b22ec69c417?lr=47&lang=ru&persistent_id=63005044&rubric=science&from=rubric
128	Учёные: Отрицательной калорийности не бывает	Новое исследование опровергло имеющуюся до этих пор теорию о существовании низкокалорийных продуктов. Учёные исследовали сельдерей, листовой салат, грейпфрут, огурцы и брокколи и пришли к неутешительному, для многих выводу.	science	https://news.yandex.ru//story/Uchyonye_Otricatelnoj_kalorijnosti_ne_byvaet--daa6b65a41d2aaf32a012001eed9959b?lr=47&lang=ru&stid=mC2JdtFH&persistent_id=62873907&rubric=science&from=rubric
129	Российские ученые МФТИ впервые в мире получили «двухмерное» золото	Российские ученые впервые в мире получили «двухмерное» золото. Российские специалисты первый раз смогли превратить золото в «двумерный» материал, сообщает информационный новостной портал evo-rus.com.	science	https://news.yandex.ru//story/Rossijskie_uchenye_MFTI_vpervye_v_mire_poluchili_dvukhmernoe_zoloto--c481ba7872e27fd3890f5bd9817b3828?lr=47&lang=ru&stid=7wbO60VmeeElLPP2jn9A&persistent_id=63243396&rubric=science&from=rubric
130	Бесплатный способ омоложения предложили ученые	Аниш Бхува проанализировал данные о 139 начинающих бегунах в возрасте от 21 года до 69 лет, которые прошли подготовку и поучаствовали в марафоне.	science	https://news.yandex.ru//story/Besplatnyj_sposob_omolozheniya_predlozhili_uchenye--4a6e54b9d135ba9a6264841430c0b6fd?lr=47&lang=ru&persistent_id=62281352&rubric=science&from=rubric
131	Быструю ходьбу связали с высокой продолжительностью жизни	Средний возраст включенных в анализ людей составлял 58,2 года, средний ИМТ — 26,7 кг/м2 (это выше нормы, которая составляет 18,5—24,99 кг/м2). Исходя из этих данных, ученые построили статистическую модель, которая связала эти факторы продолжительностью жизни участников исследования.	science	https://news.yandex.ru//story/Bystruyu_khodbu_svyazali_s_vysokoj_prodolzhitelnostyu_zhizni--ae12e93dea6fc0db34db2fe84eb0d11a?lr=47&lang=ru&stid=GY2j&persistent_id=63777568&rubric=science&from=rubric
132	Сканированием мозга вместо детектора лжи легко манипулировать	Натренированным обманщикам часто удается успешно скрыть свое вранье от детекторов лжи. Альтернативный путь разоблачения лжецов - сканирование мозга с помощью МРТ. Этот метод позволяет увидеть усиливающуюся при обмане активность определенных участков головного мозга.	science	https://news.yandex.ru//story/Skanirovaniem_mozga_vmesto_detektora_lzhi_legko_manipulirovat--ce53df57706af18c3a1c76a9b30bb78d?lr=47&lang=ru&stid=mi8i&persistent_id=61683104&rubric=science&from=rubric
133	Создана «самая искусственная» форма жизни на Земле	Эксперты утверждают, что на сегодняшний день это наиболее амбициозная попытка создать «полностью искусственную» форму жизни. Генетический код всех организмов Земли написан на общем «языке» ДНК.	science	https://news.yandex.ru//story/Sozdana_samaya_iskusstvennaya_forma_zhizni_na_Zemle--abe9890a713a980a71dc371e6d18dd61?lr=47&lang=ru&stid=SFIMbXW8aQhawF8rYOvc&persistent_id=63707725&rubric=science&from=rubric
134	Сильная магнитная буря началась на Земле	На планете Земля зарегистрирована самая крупная магнитная буря за последние два года, сообщает РИА Новости со ссылкой на слова главного научного сотрудника Лаборатории рентгеновской астрономии Солнца ФИАН Сергея Богачева. Учёный связывает природное явление с возросшей активностью Солнца.	science	https://news.yandex.ru//story/Silnaya_magnitnaya_burya_nachalas_na_Zemle--8c14c79bb96f5c4a471f0f050ef8bd6c?lr=47&lang=ru&stid=IcAr4p1ee3FeNjZy2OPJ&persistent_id=62971530&rubric=science&from=rubric
